sample,replicate,particlesize,,
pseudofaeces,a,75,,
pseudofaeces,a,75,,
pseudofaeces,a,80,,
pseudofaeces,a,80,,
pseudofaeces,a,80,,
pseudofaeces,a,80,,
pseudofaeces,a,80,,
pseudofaeces,a,85,,
pseudofaeces,a,85,,
pseudofaeces,a,90,,
pseudofaeces,a,90,,
pseudofaeces,a,90,,
pseudofaeces,a,90,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,95,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,100,,
pseudofaeces,a,105,,
pseudofaeces,a,105,,
pseudofaeces,a,105,,
pseudofaeces,a,105,,
pseudofaeces,a,105,,
pseudofaeces,a,105,,
pseudofaeces,a,105,,
pseudofaeces,a,105,,
pseudofaeces,a,105,,
pseudofaeces,a,105,,
pseudofaeces,a,105,,
pseudofaeces,a,110,,
pseudofaeces,a,110,,
pseudofaeces,a,110,,
pseudofaeces,a,120,,
pseudofaeces,b,60,,
pseudofaeces,b,60,,
pseudofaeces,b,60,,
pseudofaeces,b,60,,
pseudofaeces,b,60,,
pseudofaeces,b,60,,
pseudofaeces,b,60,,
pseudofaeces,b,70,,
pseudofaeces,b,70,,
pseudofaeces,b,70,,
pseudofaeces,b,70,,
pseudofaeces,b,70,,
pseudofaeces,b,75,,
pseudofaeces,b,75,,
pseudofaeces,b,75,,
pseudofaeces,b,75,,
pseudofaeces,b,75,,
pseudofaeces,b,75,,
pseudofaeces,b,75,,
pseudofaeces,b,80,,
pseudofaeces,b,85,,
pseudofaeces,b,85,,
pseudofaeces,b,85,,
pseudofaeces,b,85,,
pseudofaeces,b,85,,
pseudofaeces,b,85,,
pseudofaeces,b,90,,
pseudofaeces,b,90,,
pseudofaeces,b,90,,
pseudofaeces,b,90,,
pseudofaeces,b,90,,
pseudofaeces,b,90,,
pseudofaeces,b,90,,
pseudofaeces,b,90,,
pseudofaeces,b,90,,
pseudofaeces,b,90,,
pseudofaeces,b,90,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,95,,
pseudofaeces,b,100,,
pseudofaeces,b,100,,
pseudofaeces,b,100,,
pseudofaeces,b,100,,
pseudofaeces,b,100,,
pseudofaeces,b,100,,
pseudofaeces,b,100,,
pseudofaeces,b,100,,
pseudofaeces,b,100,,
pseudofaeces,b,100,,
pseudofaeces,b,100,,
pseudofaeces,b,105,,
pseudofaeces,b,105,,
pseudofaeces,b,105,,
pseudofaeces,b,105,,
pseudofaeces,b,105,,
pseudofaeces,b,110,,
pseudofaeces,b,110,,
pseudofaeces,b,115,,
pseudofaeces,b,115,,
pseudofaeces,b,115,,
pseudofaeces,b,120,,
pseudofaeces,b,120,,
pseudofaeces,b,120,,
pseudofaeces,b,120,,
pseudofaeces,b,120,,
pseudofaeces,b,125,,
pseudofaeces,b,130,,
pseudofaeces,c,50,,
pseudofaeces,c,60,,
pseudofaeces,c,70,,
pseudofaeces,c,70,,
pseudofaeces,c,75,,
pseudofaeces,c,75,,
pseudofaeces,c,75,,
pseudofaeces,c,75,,
pseudofaeces,c,80,,
pseudofaeces,c,80,,
pseudofaeces,c,80,,
pseudofaeces,c,80,,
pseudofaeces,c,80,,
pseudofaeces,c,80,,
pseudofaeces,c,80,,
pseudofaeces,c,80,,
pseudofaeces,c,80,,
pseudofaeces,c,80,,
pseudofaeces,c,85,,
pseudofaeces,c,85,,
pseudofaeces,c,90,,
pseudofaeces,c,90,,
pseudofaeces,c,90,,
pseudofaeces,c,90,,
pseudofaeces,c,90,,
pseudofaeces,c,95,,
pseudofaeces,c,95,,
pseudofaeces,c,95,,
pseudofaeces,c,95,,
pseudofaeces,c,95,,
pseudofaeces,c,95,,
pseudofaeces,c,95,,
pseudofaeces,c,95,,
pseudofaeces,c,95,,
pseudofaeces,c,95,,
pseudofaeces,c,95,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,100,,
pseudofaeces,c,105,,
pseudofaeces,c,105,,
pseudofaeces,c,105,,
pseudofaeces,c,105,,
pseudofaeces,c,105,,
pseudofaeces,c,105,,
pseudofaeces,c,105,,
pseudofaeces,c,105,,
pseudofaeces,c,105,,
pseudofaeces,c,115,,
pseudofaeces,c,115,,
pseudofaeces,c,115,,
pseudofaeces,c,115,,
pseudofaeces,c,120,,
pseudofaeces,c,120,,
pseudofaeces,c,125,,
pseudofaeces,c,130,,
pseudofaeces,c,130,,
pseudofaeces,c,130,,
pseudofaeces,c,130,,
pseudofaeces,c,130,,
pseudofaeces,c,140,,
pseudofaeces,c,140,,
pseudofaeces,c,140,,
pseudofaeces,c,140,,
pseudofaeces,c,140,,
pseudofaeces,c,140,,
pseudofaeces,c,140,,
pseudofaeces,d,50,,
pseudofaeces,d,60,,
pseudofaeces,d,70,,
pseudofaeces,d,70,,
pseudofaeces,d,80,,
pseudofaeces,d,90,,
pseudofaeces,d,90,,
pseudofaeces,d,90,,
pseudofaeces,d,90,,
pseudofaeces,d,90,,
pseudofaeces,d,95,,
pseudofaeces,d,95,,
pseudofaeces,d,95,,
pseudofaeces,d,95,,
pseudofaeces,d,100,,
pseudofaeces,d,100,,
pseudofaeces,d,100,,
pseudofaeces,d,105,,
pseudofaeces,d,105,,
pseudofaeces,d,105,,
pseudofaeces,d,105,,
pseudofaeces,d,105,,
pseudofaeces,d,110,,
pseudofaeces,d,110,,
pseudofaeces,d,110,,
pseudofaeces,d,110,,
pseudofaeces,d,110,,
pseudofaeces,d,110,,
pseudofaeces,d,120,,
pseudofaeces,d,120,,
pseudofaeces,d,125,,
pseudofaeces,d,130,,
pseudofaeces,d,140,,
pseudofaeces,e,50,,
pseudofaeces,e,65,,
pseudofaeces,e,65,,
pseudofaeces,e,65,,
pseudofaeces,e,65,,
pseudofaeces,e,70,,
pseudofaeces,e,70,,
pseudofaeces,e,70,,
pseudofaeces,e,70,,
pseudofaeces,e,70,,
pseudofaeces,e,80,,
pseudofaeces,e,80,,
pseudofaeces,e,80,,
pseudofaeces,e,80,,
pseudofaeces,e,85,,
pseudofaeces,e,85,,
pseudofaeces,e,85,,
pseudofaeces,e,85,,
pseudofaeces,e,85,,
pseudofaeces,e,85,,
pseudofaeces,e,85,,
pseudofaeces,e,90,,
pseudofaeces,e,90,,
pseudofaeces,e,95,,
pseudofaeces,e,95,,
pseudofaeces,e,95,,
pseudofaeces,e,95,,
pseudofaeces,e,95,,
pseudofaeces,e,95,,
pseudofaeces,e,95,,
pseudofaeces,e,95,,
pseudofaeces,e,95,,
pseudofaeces,e,95,,
pseudofaeces,e,100,,
